"SITE","SITEVISITID","TRANSECTAREA_ad","GENUS_CODE","AdColCount","AdColDen","TRANSECTAREA_j","JuvColCount","JuvColDen","Ave.size","Ave.od","Ave.rd","AcuteDZ","ChronicDZ","BLE","AcuteDZ_prev","BLE_prev","ChronicDZ_prev","Adpres.abs","Juvpres.abs","METHOD","OBS_YEAR","REGION","ISLAND","SEC_NAME","REEF_ZONE","DEPTH_BIN","LATITUDE","LONGITUDE","MIN_DEPTH_M","MAX_DEPTH_M","AREA_HA","REP_CARD","RAMP_CURRENT","RAMP_BASIC","MARI2011","MARI2014","TUT10_12","AS_SANCTUARY","bA_BENTHIC_REP_CARD","bBENTHIC_SEC_CODE","bGEN_MHI_STRUCTURE","bPROTECTION_DS","NH","BENTHIC_BASIC","SAMOA_CLIMATE","BENTHIC_2018","NOTES","DB_RZ","STRATANAME","ANALYSIS_SCHEMA","DOMAIN_SCHEMA","ANALYSIS_YEAR"
"NII-02594",13148,10,"UNKN",0,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Niihau","NII_WEST","Forereef","Mid",21.970101,-160.1269,13.71533069,14.32490094,2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST","","Mid_Forereef","NII_WEST_Mid_Forereef","NII_WEST_Mid_Forereef","NII_WEST",2019
"NII-02594",13148,10,"SSSS",1,0.1,4,17,4.25,48.2614235,15,0,0,0,0.1,0,100,0,1,1,"SfM",2019,"MHI","Niihau","NII_WEST","Forereef","Mid",21.970101,-160.1269,13.71533069,14.32490094,2992.988492,"Kaa-Nii","NII_WEST","NII_WEST","NOT","NOT","NOT","NOT","NII_SI","NII_WE","SI","OPEN",11972,"NII_SIWE_SI_OPEN","NOT","NII_WEST","","Mid_Forereef","NII_WEST_Mid_Forereef","NII_WEST_Mid_Forereef","NII_WEST",2019
"HAW-04221",12958,10,"CYPS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"CYSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"FUSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"GARS",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"LEPT",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"MOSP",5,0.5,3,13,4.33333333333333,8.15079566,5,0,0,0,0.1,0,20,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"PAVS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"POCS",12,1.2,3,1,0.333333333333333,16.217638825,8.83333333333333,0.5,0.1,0,0.5,8.33333333333333,41.6666666666667,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"POSP",60,6,3,10,3.33333333333333,22.29842668,21.7,0.0833333333333333,0.1,0.5,0,1.66666666666667,0,8.33333333333333,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"PSSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"UNKN",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04221",12958,10,"SSSS",77,7.7,3,24,8,20.4320940909091,18.6103896103896,0.142857142857143,0.2,0.5,0.6,2.5974025974026,7.79220779220779,6.49350649350649,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.745762,-155.066556,7.619628162,6.400487656,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"CYPS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"CYSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"FUSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"GARS",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"LEPT",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"MOSP",15,1.5,3,11,3.66666666666667,13.4180450266667,6.33333333333333,0,0,0,0.7,0,46.6666666666667,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"PAVS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"POCS",29,2.9,3,7,2.33333333333333,16.4641029275862,5.03448275862069,0.0689655172413793,0.1,0,0,3.44827586206897,0,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"POSP",25,2.5,3,7,2.33333333333333,12.349593984,31.48,0,0,0,0,0,0,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"PSSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"UNKN",1,0.1,3,1,0.333333333333333,6.443617,10,0,0,0,0,0,0,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04231",12973,10,"SSSS",70,7,3,26,8.66666666666667,14.1987589557143,14.8285714285714,0.0285714285714286,0.1,0,0.7,1.42857142857143,10,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_PUNA","Forereef","Mid",19.553661,-154.8712,8.229198415,10.66747943,1603.885128,"Hawaii","HAW_PUNA","HAW_PUNA","NOT","NOT","NOT","NOT","HAW_CM","HAW_PU","CM","OPEN",6416,"HAW_CMPU_CM_OPEN","NOT","HAW_PUNA","","Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA_Mid_Forereef","HAW_PUNA",2019
"HAW-04240",13013,10,"CYPS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"CYSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"FUSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"GARS",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"LEPT",0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"MOSP",0,0,3,1,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"PAVS",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"POCS",0,0,3,2,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"POSP",137,13.7,3,91,30.3333333333333,11.4871161518248,19.985401459854,0.0364963503649635,0,0,0.1,0,0.72992700729927,0,1,1,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
"HAW-04240",13013,10,"PSSP",0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"SfM",2019,"MHI","Hawaii","HAW_KONA","Forereef","Mid",19.828205,-156.001287,5.486132277,6.705272783,2362.718917,"Hawaii","HAW_KONA","HAW_KONA","NOT","NOT","NOT","NOT","HAW_CR","HAW_KO","CR","OPEN",9451,"HAW_CRKO_CR_OPEN","NOT","HAW_KONA","","Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA_Mid_Forereef","HAW_KONA",2019
